packet_size,timestamp,protocol,ip_src,ip_dst,transport,tls_version,tcp_seq,tcp_ack,tcp_window,tcp_flags,tcp_srcport,tcp_dstport,inter_packet_time,flow_size,flow_volume,packets_per_flow,tcp_retransmissions,payload_entropy,tls_handshake_type,tls_cipher_suite
1434,1739284573.704127,TCP,74.125.133.84,10.12.16.216,TCP,Unknown,1381,1730,268288,24,443,51376,0.0,5,3046,5,1,,,Unknown
1434,1739284573.704127,TCP,74.125.133.84,10.12.16.216,TCP,Unknown,2761,1730,268288,16,443,51376,0.0,6,4480,6,1,,,Unknown
1302,1739284573.704127,TLS,74.125.133.84,10.12.16.216,TCP,0x0303,4141,1730,268288,24,443,51376,0.0,7,5782,7,1,,,Unknown
54,1739284573.704192,TCP,10.12.16.216,74.125.133.84,TCP,Unknown,1730,5389,131072,16,51376,443,6.4849853515625e-05,4,577,4,0,,,Unknown
128,1739284573.707351,TLS,10.12.16.216,74.125.133.84,TCP,0x0303,1730,5389,131072,24,51376,443,0.003159046173095703,5,705,5,1,,,Unknown
146,1739284573.707583,TLS,10.12.16.216,74.125.133.84,TCP,0x0303,1804,5389,131072,24,51376,443,0.0002319812774658203,6,851,6,0,,,Unknown
1434,1739284573.707834,TCP,10.12.16.216,74.125.133.84,TCP,Unknown,3276,5389,131072,16,51376,443,0.0002510547637939453,7,2285,7,0,,,Unknown
310,1739284573.707834,TLS,10.12.16.216,74.125.133.84,TCP,0x0303,4656,5389,131072,24,51376,443,0.0,8,2595,8,0,,,Unknown
86,1739284573.707942,TLS,10.12.16.216,74.125.133.84,TCP,0x0303,4912,5389,131072,24,51376,443,0.00010800361633300781,9,2681,9,0,,,Unknown
1020,1739284573.714475,TLS,216.58.204.138,10.12.16.216,TCP,0x0303,5748,2593,267520,24,443,51375,0.006532907485961914,9,7215,9,0,,,Unknown
1042,1739284573.714475,TLS,142.251.143.195,10.12.16.216,TCP,0x0303,5758,2367,267776,24,443,51374,0.0,9,7247,9,0,,,Unknown
85,1739284573.714475,TLS,142.251.143.195,10.12.16.216,TCP,0x0303,6746,2367,267776,24,443,51374,0.0,10,7332,10,0,,,Unknown
85,1739284573.714475,TLS,216.58.204.138,10.12.16.216,TCP,0x0303,6714,2593,267520,24,443,51375,0.0,10,7300,10,0,,,Unknown
54,1739284573.714575,TCP,10.12.16.216,142.251.143.195,TCP,Unknown,2367,6777,130048,16,51374,443,0.00010013580322265625,8,1430,8,0,,,Unknown
54,1739284573.714605,TCP,10.12.16.216,216.58.204.138,TCP,Unknown,2593,6745,130048,16,51375,443,3.0040740966796875e-05,10,1764,10,0,,,Unknown
85,1739284573.714855,TLS,10.12.16.216,216.58.204.138,TCP,0x0303,2593,6745,130048,24,51375,443,0.0002498626708984375,11,1849,11,1,,,Unknown
85,1739284573.714891,TLS,10.12.16.216,142.251.143.195,TCP,0x0303,2367,6777,130048,24,51374,443,3.600120544433594e-05,9,1515,9,1,,,Unknown
127,1739284573.715062,TLS,10.12.16.216,142.251.209.36,TCP,0x0303,4297,5349,131072,24,51377,443,0.0001709461212158203,9,2107,9,0,,,Unknown
122,1739284573.723812,TLS,10.12.16.216,142.251.209.36,TCP,0x0303,4370,5349,131072,24,51377,443,0.008750200271606445,10,2229,10,0,,,Unknown
487,1739284573.732416,TLS,142.251.143.195,10.12.16.216,TCP,0x0303,6777,2367,267776,24,443,51374,0.008603811264038086,11,7819,11,0,,,Unknown
85,1739284573.732416,TLS,142.251.143.195,10.12.16.216,TCP,0x0303,7210,2367,267776,24,443,51374,0.0,12,7904,12,0,,,Unknown
93,1739284573.732416,TLS,142.251.143.195,10.12.16.216,TCP,0x0303,7241,2367,267776,24,443,51374,0.0,13,7997,13,0,,,Unknown
54,1739284573.732514,TCP,10.12.16.216,142.251.143.195,TCP,Unknown,2398,7280,131072,16,51374,443,9.799003601074219e-05,10,1569,10,0,,,Unknown
93,1739284573.733895,TLS,10.12.16.216,142.251.143.195,TCP,0x0303,2398,7280,131072,24,51374,443,0.0013811588287353516,11,1662,11,1,,,Unknown
